selling_price,km_driven,age,fuel_Diesel,fuel_Electric,fuel_LPG,fuel_Petrol,seller_type_Individual,seller_type_Trustmark Dealer,transmission_Manual,owner_Fourth & Above Owner,owner_Second Owner,owner_Test Drive Car,owner_Third Owner
60000,70000,17,False,False,False,True,True,False,True,False,False,False,False
135000,50000,17,False,False,False,True,True,False,True,False,False,False,False
600000,100000,12,True,False,False,False,True,False,True,False,False,False,False
250000,46000,7,False,False,False,True,True,False,True,False,False,False,False
450000,141000,10,True,False,False,False,True,False,True,False,True,False,False
140000,125000,17,False,False,False,True,True,False,True,False,False,False,False
550000,25000,8,False,False,False,True,True,False,True,False,False,False,False
240000,60000,10,False,False,False,True,True,False,True,False,True,False,False
850000,25000,9,False,False,False,True,True,False,True,False,False,False,False
365000,78000,7,False,False,False,False,True,False,True,False,False,False,False
260000,35000,9,False,False,False,True,True,False,True,False,False,False,False
250000,100000,10,False,False,False,True,True,False,True,False,False,False,False
1650000,25000,6,False,False,False,True,False,False,False,False,False,False,False
60000,70000,17,False,False,False,True,True,False,True,False,False,False,False
135000,50000,17,False,False,False,True,True,False,True,False,False,False,False
600000,100000,12,True,False,False,False,True,False,True,False,False,False,False
250000,46000,7,False,False,False,True,True,False,True,False,False,False,False
450000,141000,10,True,False,False,False,True,False,True,False,True,False,False
140000,125000,17,False,False,False,True,True,False,True,False,False,False,False
550000,25000,8,False,False,False,True,True,False,True,False,False,False,False
240000,60000,10,False,False,False,True,True,False,True,False,True,False,False
850000,25000,9,False,False,False,True,True,False,True,False,False,False,False
365000,78000,7,False,False,False,False,True,False,True,False,False,False,False
260000,35000,9,False,False,False,True,True,False,True,False,False,False,False
250000,100000,10,False,False,False,True,True,False,True,False,False,False,False
1650000,25000,6,False,False,False,True,False,False,False,False,False,False,False
585000,24000,9,False,False,False,True,False,False,True,False,False,False,False
1195000,5000,5,True,False,False,False,False,False,True,False,False,False,False
390000,33000,11,True,False,False,False,True,False,True,False,True,False,False
1964999,28000,10,True,False,False,False,False,False,False,False,False,False,False
1425000,59000,11,True,False,False,False,False,False,False,False,False,False,False
975000,4500,6,True,False,False,False,False,False,False,False,False,False,False
1190000,175900,13,True,False,False,False,False,False,False,False,False,False,False
930000,14500,6,False,False,False,True,False,False,True,False,False,False,False
525000,15000,6,False,False,False,True,True,False,True,False,False,False,False
1735000,50000,11,True,False,False,False,False,False,False,False,False,False,False
1375000,33800,12,True,False,False,False,False,False,False,False,True,False,False
450000,130400,13,True,False,False,False,False,False,False,False,True,False,False
900000,50000,8,False,False,False,True,True,False,False,False,False,False,False
1300000,80000,9,True,False,False,False,True,False,True,False,False,False,False
1400000,10000,5,False,False,False,True,True,False,True,False,False,False,False
850000,119000,14,False,False,False,True,False,False,False,False,False,False,False
229999,60000,10,False,False,False,True,True,False,True,True,False,False,False
1550000,75800,11,True,False,False,False,False,False,False,False,True,False,False
1250000,78000,15,True,False,False,False,False,False,False,False,False,False,True
625000,40000,12,True,False,False,False,True,False,True,False,False,False,False
1050000,50000,10,True,False,False,False,True,False,True,False,False,False,False
560000,74000,10,True,False,False,False,True,False,True,False,True,False,False
290000,64000,10,False,False,False,True,True,False,True,False,True,False,False
275000,60000,12,False,False,False,True,True,False,True,False,True,False,False
411000,120000,15,True,False,False,False,True,False,True,False,True,False,False
150000,79000,15,False,False,False,True,True,False,True,False,False,False,True
500000,15000,5,False,False,False,True,True,False,True,False,False,False,False
100000,80000,18,False,False,False,True,True,False,True,False,False,False,False
725000,18500,7,True,False,False,False,False,False,True,False,False,False,False
401000,10200,6,False,False,False,True,False,False,True,False,False,False,False
750000,29000,6,True,False,False,False,False,False,True,False,False,False,False
310000,28000,6,False,False,False,True,False,False,True,False,False,False,False
665000,46000,8,True,False,False,False,False,False,True,False,False,False,False
465000,70000,10,True,False,False,False,False,False,True,False,False,False,False
160000,60000,12,False,False,False,True,True,False,True,False,True,False,False
250000,35000,28,True,False,False,False,True,False,True,False,True,False,False
675000,90000,10,True,False,False,False,False,False,True,False,False,False,False
300000,80000,11,False,False,False,True,False,False,True,False,False,False,False
70000,80000,19,True,False,False,False,True,False,True,False,False,False,False
240000,73300,10,False,False,False,True,False,False,True,False,True,False,False
525000,92000,10,True,False,False,False,False,False,True,False,False,False,False
151000,66764,15,False,False,False,True,False,False,True,False,True,False,False
140000,100000,15,False,False,False,True,True,False,True,False,False,False,False
280000,350000,14,True,False,False,False,True,False,True,False,True,False,False
350000,230000,13,True,False,False,False,True,False,True,False,False,False,False
570000,60000,7,True,False,False,False,True,False,True,False,False,False,False
300000,31000,6,False,False,False,True,True,False,True,False,False,False,False
100000,39000,17,True,False,False,False,True,False,True,False,False,False,False
500000,120000,15,True,False,False,False,True,False,True,False,False,False,True
125000,166000,10,True,False,False,False,True,False,True,True,False,False,False
130000,110000,18,False,False,False,True,True,False,True,False,False,False,True
925000,35000,7,True,False,False,False,True,False,True,False,False,False,False
750000,60000,6,True,False,False,False,True,False,True,False,False,False,False
200000,54000,17,False,False,False,True,True,False,False,False,True,False,False
248000,63000,14,False,False,False,True,True,False,True,False,True,False,False
450000,120000,10,True,False,False,False,True,False,True,False,True,False,False
80000,120000,19,False,False,False,True,True,False,True,False,False,False,True
650000,76000,10,False,False,False,True,True,False,True,False,True,False,False
450000,80000,9,True,False,False,False,True,False,True,False,False,False,False
650000,25000,5,True,False,False,False,True,False,True,False,False,False,False
495000,11958,8,False,False,False,True,False,False,True,False,False,False,False
371000,20000,9,False,False,False,True,False,False,True,False,False,False,False
1025000,9000,7,False,False,False,True,False,False,True,False,False,False,False
8150000,6500,7,True,False,False,False,False,False,False,False,False,False,False
750000,70000,9,True,False,False,False,True,False,True,False,False,False,False
600000,120000,11,True,False,False,False,True,False,True,False,False,False,False
80000,58000,17,False,False,False,True,False,False,True,False,True,False,False
325000,62200,11,True,False,False,False,False,False,True,False,False,False,False
1470000,34000,10,True,False,False,False,False,False,False,False,True,False,False
350000,53000,9,True,False,False,False,True,False,True,False,True,False,False
2800000,49000,11,True,False,False,False,False,False,False,False,False,False,False
210000,15000,7,False,False,False,True,False,False,True,False,True,False,False
450000,50000,11,False,False,False,True,True,False,True,False,False,False,False
1150000,53000,11,True,False,False,False,False,False,False,False,False,False,False
